------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	HE         4.00299978
  2.	AR        39.94800186
  3.	N         14.00699997
  4.	O         15.99899960
  5.	H          1.00800002
  6.	C         12.01099968
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High      HE      AR       N       O       H       C
      4. CH4 + C.(S)  => CH3 + H(S) + C(B) 
         k:       1.470000e+09	    0.00       7370.00


      5. C2H3 + H(S) + C(B)  => C2H4 + C.(S) 
         k:       1.000000e+08	    0.00      13000.00


      6. C2H4 + C.(S)  => C2H3 + H(S) + C(B) 
         k:       4.720000e+08	    0.00       9866.00


      7. C2H5 + H(S) + C(B)  => C2H6 + C.(S) 
         k:       1.000000e+08	    0.00      15000.00


      8. C2H6 + C.(S)  => C2H5 + H(S) + C(B) 
         k:       5.100000e+08	    0.00       2608.00


      9. C4H3 + H(S) + C(B)  => C4H4 + C.(S) 
         k:       1.050000e+08	    0.00      20000.00


     10. C4H4 + C.(S)  => C4H3 + H(S) + C(B) 
         k:       8.010000e+09	    0.00       -620.00


     11. CH2CHCH2 + H(S) + C(B)  => C3H6 + C.(S) 
         k:       1.050000e+08	    0.00      20000.00


     12. C3H6 + C.(S)  => CH2CHCH2 + H(S) + C(B) 
         k:       4.540000e+07	    0.00      -5888.00


     13. C7H7 + H(S) + C(B)  => C7H8 + C.(S) 
         k:       7.630000e+10	    0.00      35866.00


     14. C7H8 + C.(S)  => C7H7 + H(S) + C(B) 
         k:       7.900000e+10	    0.00      12000.00


     15. INDENYL + H(S) + C(B)  => INDENE + C.(S) 
         k:       6.400000e+10	    0.00      42637.00


     16. INDENE + C.(S)  => INDENYL + H(S) + C(B) 
         k:       1.000000e+11	    0.00      12000.00


     17. H(S) + C(B)  => H + C.(S) 
         k:       1.780000e+16	    0.00     112512.00


     18. H + C.(S)  => H(S) + C(B) 
         k:       1.000000e+11	    0.00          0.00


     19. C2H2 + C.(S)  => CHCH.(S) + C(B) 
         k:       4.150000e+19	   -2.70      17464.00


     20. CHCH.(S) + C(B)  => C2H2 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     21. CHCH.(S)  => 2H(S) + 2C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     22. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CHCH.(S): 
                  0.00	1.00	0.00	


     23. CHCH.(S)  => 2H(S) + 2C(B) 
         k:       8.130000e+09	    0.10       2090.00
         Coverage dependent parameters for species C.(S): 
                  0.00	1.00	0.00	


     24. C.(S)  => C(B) 
         k:       8.130000e+09	    0.10       2090.00
         Coverage dependent parameters for species CHCH.(S): 
                  0.00	1.00	0.00	


     25. C2H4 + C.(S)  => CH2CH2.(S) + C(B) 
         k:       1.250000e+09	    0.00       6200.00


     26. CH2CH2.(S) + C(B)  => C2H4 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     27. CH2CH2.(S)  => CH2CH2(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     28. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CH2CH2.(S): 
                  0.00	1.00	0.00	


     29. H + CH2CH2(S)  => H2 + CH.CH2(S) 
         k:       1.100000e+02	    2.50      -1900.00


     30. H2 + CH.CH2(S)  => H + CH2CH2(S) 
         k:       8.990000e+00	    2.50      26362.00


     31. CH3 + CH2CH2(S)  => CH4 + CH.CH2(S) 
         k:       2.000000e+08	    0.00       7300.00


     32. CH4 + CH.CH2(S)  => CH3 + CH2CH2(S) 
         k:       5.000000e+08	    0.00      35992.00


     33. CH2CH2(S)  => H + CH.CH2(S) 
         k:       2.600000e+14	    0.00      77100.00


     34. H + CH.CH2(S)  => CH2CH2(S) 
         k:       4.970000e+09	    0.00        915.50


     35. CH2CH2(S)  => H2 + 2H(S) + 2C(B) 
         k:       2.510000e+13	    0.00      59034.00


     36. CH.CH2(S)  => H + 2H(S) + 2C(B) 
         k:       4.960000e+11	    0.00      20733.00


     37. PC3H4 + C.(S)  => p1(S) + C(B) 
         k:       8.300000e+19	   -2.70      17464.00


     38. p1(S) + C(B)  => PC3H4 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     39. p1(S)  => H(S) + CH3(S) + 2C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     40. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species p1(S): 
                  0.00	1.00	0.00	


     41. C3H6 + C.(S)  => p3(S) + C(B) 
         k:       2.500000e+09	    0.00       6200.00


     42. p3(S)  => p4(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     43. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species p3(S): 
                  0.00	1.00	0.00	


     44. H + p4(S)  => H2 + p5(S) 
         k:       1.100000e+02	    2.50      -1900.00


     45. H2 + p5(S)  => H + p4(S) 
         k:       8.990000e+00	    2.50      26362.00


     46. CH3 + p4(S)  => CH4 + p5(S) 
         k:       2.000000e+08	    0.00       7300.00


     47. CH4 + p5(S)  => CH3 + p4(S) 
         k:       5.000000e+08	    0.00      35922.00


     48. p4(S)  => H + p5(S) 
         k:       2.600000e+14	    0.00      77100.00


     49. H + p5(S)  => p4(S) 
         k:       4.970000e+09	    0.00        915.00


     50. p5(S)  => H + H(S) + CH3(S) + 2C(B) 
         k:       4.960000e+11	    0.00      20733.00


     51. p5(S)  => CH3 + 2H(S) + 2C(B) 
         k:       1.200000e+13	   -0.10      30200.00


     52. AC3H4 + C.(S)  => p6(S) + C(B) 
         k:       2.500000e+09	    0.00       6200.00


     53. p6(S)  => p7(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     54. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species p6(S): 
                  0.00	1.00	0.00	


     55. H + p7(S)  => H2 + H(S) + CH2.(S) + 2C(B) 
         k:       1.100000e+02	    2.50      -1900.00


     56. CH3 + p7(S)  => CH4 + H(S) + CH2.(S) + 2C(B) 
         k:       2.000000e+08	    0.00       7300.00


     57. p7(S)  => H + H(S) + CH2.(S) + 2C(B) 
         k:       2.600000e+14	    0.00      77100.00


     58. C6H6 + C.(S)  => C6H6.(S) + C(B) 
         k:       3.260000e+09	    0.00       6400.00


     59. C6H6.(S) + C(B)  => C6H6 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     60. C6H6.(S)  => C6H6(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     61. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species C6H6.(S): 
                  0.00	1.00	0.00	


     62. H + C6H6(S)  => H2 + C6H5.(S) 
         k:       1.100000e+02	    2.50      -1900.00


     63. H2 + C6H5.(S)  => H + C6H6(S) 
         k:       8.990000e+00	    2.50      26362.00


     64. CH3 + C6H6(S)  => CH4 + C6H5.(S) 
         k:       2.000000e+08	    0.00       7300.00


     65. CH4 + C6H5.(S)  => CH3 + C6H6(S) 
         k:       5.000000e+08	    0.00      35992.00


     66. C6H6(S)  => H + C6H5.(S) 
         k:       2.600000e+14	    0.00      77100.00


     67. H + C6H5.(S)  => C6H6(S) 
         k:       4.970000e+09	    0.00        915.50


     68. C6H5.(S)  => H + 4H(S) + 6C(B) 
         k:       4.960000e+11	    0.00      20733.00


     69. C6H5 + C.(S)  => C6H5#(S) + C(B) 
         k:       3.000000e+09	    0.00          0.00


     70. C6H5#(S) + C(B)  => C6H5 + C.(S) 
         k:       4.300000e+15	    0.00     112695.00


     71. C6H5#(S)  => C6H5.(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species C.(S): 
                  0.00	1.00	0.00	


     72. C.(S)  => C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species C6H5#(S): 
                  0.00	1.00	0.00	


     73. C10H8 + C.(S)  => C10H8.(1)(S) + C(B) 
         k:       3.260000e+09	    0.00       6400.00


     74. C10H8.(1)(S)  => C10H8(1)(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     75. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species C10H8.(1)(S): 
                  0.00	1.00	0.00	


     76. C10H8(1)(S)  => H2 + 6H(S) + 10C(B) 
         k:       2.510000e+13	    0.00      59034.00


     77. C6H5C2H3 + C.(S)  => styrene.1(S) + C(B) 
         k:       2.500000e+09	    0.00       6200.00


     78. styrene.1(S)  => styrene1(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     79. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species styrene.1(S): 
                  0.00	1.00	0.00	


     80. styrene1(S)  => H2 + H(S) + C6H5#(S) + 2C(B) 
         k:       2.510000e+13	    0.00      59034.00


     81. C2H + C.(S)  => CCH(S) + C(B) 
         k:       2.810000e+09	    0.00          0.00


     82. CCH(S) + C(B)  => C2H + C.(S) 
         k:       3.780000e+15	    0.00     138500.00


     83. C2H + H(S)  => H + CCH(S) 
         k:       1.320000e+08	    0.00       6400.00


     84. H + CCH(S)  => C2H + H(S) 
         k:       3.590000e+09	    0.00      28580.00


     85. CCH(S)  => H(S) + C.(S) + C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species C.(S): 
                  0.00	1.00	0.00	


     86. C.(S)  => C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CCH(S): 
                  0.00	1.00	0.00	


     87. C2H3 + C.(S)  => CHCH2(S) + C(B) 
         k:       5.000000e+09	    0.00          0.00


     88. CHCH2(S) + C(B)  => C2H3 + C.(S) 
         k:       7.510000e+15	    0.00     111255.00


     89. C2H3 + H(S)  => H + CHCH2(S) 
         k:       1.320000e+08	    0.00       6400.00


     90. H + CHCH2(S)  => C2H3 + H(S) 
         k:       6.680000e+09	    0.00       5143.00


     91. CHCH2(S)  => CH.CH2(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species C.(S): 
                  0.00	1.00	0.00	


     92. C.(S)  => C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CHCH2(S): 
                  0.00	1.00	0.00	


     93. H + CHCH2(S)  => H2 + CHCH.(S) 
         k:       2.050000e+04	    1.90      12950.00


     94. H2 + CHCH.(S)  => H + CHCH2(S) 
         k:       1.560000e+03	    1.90       8018.00


     95. CH3 + CHCH2(S)  => CH4 + CHCH.(S) 
         k:       3.150000e+08	    0.00      16000.00


     96. CH4 + CHCH.(S)  => CH3 + CHCH2(S) 
         k:       5.890000e+08	    0.00      11498.00


     97. CH3 + C.(S)  => CH3(S) + C(B) 
         k:       3.000000e+10	    0.00          0.00


     98. CH3(S) + C(B)  => CH3 + C.(S) 
         k:       1.040000e+16	    0.00      99658.00


     99. CH3 + H(S)  => H + CH3(S) 
         k:       7.500000e+09	    0.00      20954.00


    100. H + CH3(S)  => CH3 + H(S) 
         k:       1.740000e+11	    0.00       8100.00


    101. H + CH3(S)  => H2 + CH2.(S) 
         k:       3.400000e-01	    3.40       3100.00


    102. H2 + CH2.(S)  => H + CH3(S) 
         k:       4.750000e-02	    3.40      18901.00


    103. CH3 + CH3(S)  => CH4 + CH2.(S) 
         k:       1.600000e+09	    0.00      11000.00


    104. CH4 + CH2.(S)  => CH3 + CH3(S) 
         k:       6.830000e+09	    0.00      27331.00


    105. CH3(S)  => H + CH2.(S) 
         k:       1.530000e+15	    0.00      88645.00


    106. H + CH2.(S)  => CH3(S) 
         k:       5.000000e+10	    0.00          0.00


    107. CH2.(S)  => CH2c5(S) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


    108. H(S)  => H 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CH2.(S): 
                  0.00	1.00	0.00	


    109. H + CH2c5(S)  => H2 + CH.c5(S) 
         k:       2.200000e+05	    1.80       3000.00


    110. H2 + CH.c5(S)  => H + CH2c5(S) 
         k:       1.040000e+04	    1.80      24000.00


    111. CH3 + CH2c5(S)  => CH4 + CH.c5(S) 
         k:       3.100000e+08	    0.00       5500.00


    112. CH4 + CH.c5(S)  => CH3 + CH2c5(S) 
         k:       4.500000e+08	    0.00      26984.00


    113. CH2c5(S)  => H + CH.c5(S) 
         k:       9.000000e+15	    0.00      83482.00


    114. H + CH.c5(S)  => CH2c5(S) 
         k:       2.000000e+10	    0.00          0.00


    115. CH3 + CH.c5(S)  => CHCH3c5(S) 
         k:       1.000000e+10	    0.00          0.00


    116. CHCH3c5(S)  => CH3 + CH.c5(S) 
         k:       1.450000e+16	    0.00      70118.00


    117. H + CHCH3c5(S)  => H2 + C.CH3c5(S) 
         k:       2.200000e+05	    1.80       3000.00


    118. H2 + C.CH3c5(S)  => H + CHCH3c5(S) 
         k:       2.360000e+04	    1.80      31305.00


    119. CH3 + CHCH3c5(S)  => CH4 + C.CH3c5(S) 
         k:       3.100000e+08	    0.00       5500.00


    120. CH4 + C.CH3c5(S)  => CH3 + CHCH3c5(S) 
         k:       1.020000e+09	    0.00      34236.00


    121. CHCH3c5(S)  => H + C.CH3c5(S) 
         k:       4.000000e+15	    0.00      76140.00


    122. H + C.CH3c5(S)  => CHCH3c5(S) 
         k:       1.000000e+11	    0.00          0.00


    123. C.CH3c5(S)  => H + 2H(S) + 2C(B) 
         k:       3.000000e+13	    0.00      51500.00


    124. C.CH3c5(S)  => CH.CH2(S) 
         k:       5.540000e+10	    0.00      30474.00


    125. CH3 + CH2c5(S)  => H + CHCH3c5(S) 
         k:       5.730000e+08	    0.00      14563.00


    126. H + CHCH3c5(S)  => CH3 + CH2c5(S) 
         k:       1.000000e+10	    0.00       1200.00


    127. H + Hz(S) + C(B)  => H2 + C.z(S) 
         k:       5.000000e+04	    1.80      16800.00


    128. H2 + C.z(S)  => H + Hz(S) + C(B) 
         k:       1.450000e+04	    1.80       8734.00


    129. CH3 + Hz(S) + C(B)  => CH4 + C.z(S) 
         k:       6.660000e+08	    0.00      15000.00


    130. CH4 + C.z(S)  => CH3 + Hz(S) + C(B) 
         k:       1.470000e+09	    0.00       7370.00


    131. Hz(S) + C(B)  => H + C.z(S) 
         k:       1.780000e+16	    0.00     112512.00


    132. H + C.z(S)  => Hz(S) + C(B) 
         k:       1.000000e+11	    0.00          0.00


    133. C2H2 + C.z(S)  => CHCH.z(S) + C(B) 
         k:       4.150000e+19	   -2.70      17464.00


    134. CHCH.z(S) + C(B)  => C2H2 + C.z(S) 
         k:       3.010000e+46	  -10.50      50746.00


    135. CH3 + CHCH.z(S)  => CHCHCH3z(S) 
         k:       6.260000e+09	    0.00          0.00


    136. CHCHCH3z(S)  => CH3 + CHCH.z(S) 
         k:       9.120000e+14	    0.00      97540.00


    137. H + CHCHCH3z(S)  => H2 + CHCHCH2.z(S) 
         k:       1.700000e+02	    2.50       2490.00


    138. H2 + CHCHCH2.z(S)  => H + CHCHCH3z(S) 
         k:       5.680000e+01	    2.50      20312.00


    139. CH3 + CHCHCH3z(S)  => CH4 + CHCHCH2.z(S) 
         k:       2.200000e-03	    3.50       5675.00


    140. CH4 + CHCHCH2.z(S)  => CH3 + CHCHCH3z(S) 
         k:       2.250000e-02	    3.50      23928.00


    141. CHCHCH3z(S)  => H + CHCHCH2.z(S) 
         k:       2.180000e+15	    0.00      86629.00


    142. H + CHCHCH2.z(S)  => CHCHCH3z(S) 
         k:       1.800000e+10	    0.00          0.00


    143. CHCHCH2.z(S)  => CH2Bz(S) + CHCHz(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species Hz(S): 
                  0.00	1.00	0.00	


    144. Hz(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CHCHCH2.z(S): 
                  0.00	1.00	0.00	


    145. C2H4 + C.z(S)  => CH2CH2.z(S) + C(B) 
         k:       1.250000e+09	    0.00       6200.00


    146. CH2CH2.z(S) + C(B)  => C2H4 + C.z(S) 
         k:       3.010000e+46	  -10.50      50746.00


    147. CH3 + CH2CH2.z(S)  => CH2CH2CH3z(S) 
         k:       6.450000e+09	    0.00          0.00


    148. CH2CH2CH3z(S)  => CH3 + CH2CH2.z(S) 
         k:       5.540000e+14	    0.00      84480.00


    149. H + CH2CH2CH3z(S)  => H2 + CH.CH2CH3z(S) 
         k:       3.790000e+11	    0.00      12359.00


    150. H2 + CH.CH2CH3z(S)  => H + CH2CH2CH3z(S) 
         k:       5.170000e+10	    0.00      32149.00


    151. CH2CH2CH3z(S)  => H + CH.CH2CH3z(S) 
         k:       3.210000e+15	    0.00      84665.00


    152. H + CH.CH2CH3z(S)  => CH2CH2CH3z(S) 
         k:       1.000000e+11	    0.00          0.00


    153. CH.CH2CH3z(S)  => H + CHCHCH3z(S) 
         k:       1.000000e+14	    0.00      51500.00


    154. H + CHCHCH3z(S)  => CH.CH2CH3z(S) 
         k:       3.120000e+10	    0.00       4347.00


    155. CH3 + CH2.z(S)  => CH2CH3z(S) 
         k:       5.000000e+09	    0.00          0.00


    156. CH2CH3z(S)  => CH3 + CH2.z(S) 
         k:       3.380000e+15	    0.00      73551.00


    157. H + CH2CH3z(S)  => H2 + CH2CH2.z(S) 
         k:       7.000000e+05	    1.50       7400.00


    158. H2 + CH2CH2.z(S)  => H + CH2CH3z(S) 
         k:       9.960000e+04	    1.50      11725.00


    159. CH3 + CH2CH3z(S)  => CH4 + CH2CH2.z(S) 
         k:       7.500000e-11	    6.00       5800.00


    160. CH4 + CH2CH2.z(S)  => CH3 + CH2CH3z(S) 
         k:       1.300000e-10	    6.00      10556.00


    161. CH2CH3z(S)  => H + CH2CH2.z(S) 
         k:       9.900000e+13	    0.00     100140.00


    162. H + CH2CH2.z(S)  => CH2CH3z(S) 
         k:       3.340000e+09	    0.00          0.00


    163. CH3 + C.z(S)  => CH3z(S) + C(B) 
         k:       3.000000e+10	    0.00          0.00


    164. CH3z(S) + C(B)  => CH3 + C.z(S) 
         k:       1.040000e+16	    0.00      99658.00


    165. CH3 + Hz(S)  => H + CH3z(S) 
         k:       7.500000e+09	    0.00      20954.00


    166. H + CH3z(S)  => CH3 + Hz(S) 
         k:       1.740000e+11	    0.00       8100.00


    167. H + CH3z(S)  => H2 + CH2.z(S) 
         k:       3.400000e-01	    3.40       3100.00


    168. H2 + CH2.z(S)  => H + CH3z(S) 
         k:       4.750000e-02	    3.40      18901.00


    169. CH3 + CH3z(S)  => CH4 + CH2.z(S) 
         k:       1.600000e+09	    0.00      11000.00


    170. CH4 + CH2.z(S)  => CH3 + CH3z(S) 
         k:       6.830000e+09	    0.00      27331.00


    171. CH3z(S)  => H + CH2.z(S) 
         k:       1.530000e+15	    0.00      88645.00


    172. H + CH2.z(S)  => CH3z(S) 
         k:       5.000000e+10	    0.00          0.00


    173. C2H2 + CH2.z(S)  => CH2CHCH.z(S) 
         k:       3.200000e+10	    0.00      24480.00


    174. CH2CHCH.z(S)  => CH2Bz(S) + CHCHz(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species Hz(S): 
                  0.00	1.00	0.00	


    175. Hz(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CH2CHCH.z(S): 
                  0.00	1.00	0.00	


    176. C2H4 + CH2.z(S)  => CH2CH2CH2.z(S) 
         k:       3.200000e+10	    0.00      28480.00


    177. CH2CH2CH2.z(S)  => CH2Bz(S) + CH2CH2z(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species Hz(S): 
                  0.00	1.00	0.00	


    178. Hz(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CH2CH2CH2.z(S): 
                  0.00	1.00	0.00	


    179. CH2CH2z(S)  => H2 + CHCHz(S) 
         k:       2.510000e+13	    0.00      59034.00


    180. H + CH2Bz(S)  => H2 + CH.Bz(S) 
         k:       2.200000e+05	    1.80       3000.00


    181. H2 + CH.Bz(S)  => H + CH2Bz(S) 
         k:       1.040000e+04	    1.80      24000.00


    182. CH3 + CH2Bz(S)  => CH4 + CH.Bz(S) 
         k:       3.100000e+08	    0.00       5500.00


    183. CH4 + CH.Bz(S)  => CH3 + CH2Bz(S) 
         k:       4.500000e+08	    0.00      26984.00


    184. CH2Bz(S)  => H + CH.Bz(S) 
         k:       9.000000e+15	    0.00      83482.00


    185. H + CH.Bz(S)  => CH2Bz(S) 
         k:       2.000000e+10	    0.00          0.00


    186. CH3 + CH.Bz(S)  => CHCH3Bz(S) 
         k:       1.000000e+10	    0.00          0.00


    187. CHCH3Bz(S)  => CH3 + CH.Bz(S) 
         k:       1.450000e+16	    0.00      70118.00


    188. H + CHCH3Bz(S)  => H2 + C.CH3Bz(S) 
         k:       2.200000e+05	    1.80       3000.00


    189. H2 + C.CH3Bz(S)  => H + CHCH3Bz(S) 
         k:       2.360000e+04	    1.80      31305.00


    190. CH3 + CHCH3Bz(S)  => CH4 + C.CH3Bz(S) 
         k:       3.100000e+08	    0.00       5500.00


    191. CH4 + C.CH3Bz(S)  => CH3 + CHCH3Bz(S) 
         k:       1.020000e+09	    0.00      34236.00


    192. CHCH3Bz(S)  => H + C.CH3Bz(S) 
         k:       4.000000e+15	    0.00      76140.00


    193. H + C.CH3Bz(S)  => CHCH3Bz(S) 
         k:       1.000000e+11	    0.00          0.00


    194. H + CCH2Bz(S)  => H2 + CCH.Bz(S) 
         k:       2.550000e+04	    1.90      12950.00


    195. H2 + CCH.Bz(S)  => H + CCH2Bz(S) 
         k:       1.560000e+03	    1.90       8018.00


    196. CH3 + CCH2Bz(S)  => CH4 + CCH.Bz(S) 
         k:       3.150000e+08	    0.00      16000.00


    197. CH4 + CCH.Bz(S)  => CH3 + CCH2Bz(S) 
         k:       5.890000e+08	    0.00      11498.00


    198. CH3 + CCH2Bz(S)  => H + CCHCH3Bz(S) 
         k:       3.300000e+08	    0.00      15900.00


    199. H + CCHCH3Bz(S)  => CH3 + CCH2Bz(S) 
         k:       7.860000e+09	    0.00       3836.00


    200. CH3 + CCH.Bz(S)  => CCHCH3Bz(S) 
         k:       2.500000e+10	    0.00          0.00


    201. CCHCH3Bz(S)  => CH3 + CCH.Bz(S) 
         k:       4.150000e+16	    0.00      97315.00


    202. H + CCHCH3Bz(S)  => H2 + CCHCH2.Bz(S) 
         k:       1.700000e+02	    2.50       2490.00


    203. H2 + CCHCH2.Bz(S)  => H + CCHCH3Bz(S) 
         k:       5.680000e+01	    2.50      20312.00


    204. CH3 + CCHCH3Bz(S)  => CH4 + CCHCH2.Bz(S) 
         k:       2.200000e-03	    3.50       5675.00


    205. CH4 + CCHCH2.Bz(S)  => CH3 + CCHCH3Bz(S) 
         k:       2.250000e-02	    3.50      23928.00


    206. CCHCH3Bz(S)  => H + CCHCH2.Bz(S) 
         k:       2.180000e+15	    0.00      86630.00


    207. H + CCHCH2.Bz(S)  => CCHCH3Bz(S) 
         k:       1.800000e+10	    0.00          0.00


    208. CCHCH2.Bz(S)  => Hz(S) + CH2Bz(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species Hz(S): 
                  0.00	1.00	0.00	


    209. Hz(S)  => H 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CCHCH2.Bz(S): 
                  0.00	1.00	0.00	


    210. CCH2Bz(S)  => H + Hz(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CHC.z(S): 
                  0.00	1.00	0.00	


    211. CHC.z(S)  => Hz(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CCH2Bz(S): 
                  0.00	1.00	0.00	


    212. CCH.Bz(S)  => Hz(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CHCHz(S): 
                  0.00	1.00	0.00	


    213. CHCHz(S)  => H + Hz(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CCH.Bz(S): 
                  0.00	1.00	0.00	


    214. H + CHCHz(S)  => H2 + CHC.z(S) 
         k:       5.000000e+04	    1.80      16800.00


    215. H2 + CHC.z(S)  => H + CHCHz(S) 
         k:       1.450000e+04	    1.80       8734.00


    216. CH3 + CHCHz(S)  => CH4 + CHC.z(S) 
         k:       6.660000e+08	    0.00      15000.00


    217. CH4 + CHC.z(S)  => CH3 + CHCHz(S) 
         k:       1.470000e+09	    0.00       7370.00


    218. CH3 + CHCHz(S)  => H + CHCCH3z(S) 
         k:       7.500000e+09	    0.00      20954.00


    219. H + CHCCH3z(S)  => CH3 + CHCHz(S) 
         k:       1.740000e+11	    0.00       8100.00


    220. CHCHz(S)  => H + CHC.z(S) 
         k:       1.780000e+16	    0.00     112512.00


    221. H + CHC.z(S)  => CHCHz(S) 
         k:       1.000000e+11	    0.00          0.00


    222. C2H2 + CHC.z(S)  => CHCCHCH.z(S) 
         k:       4.150000e+19	   -2.70      17464.00


    223. CHCCHCH.z(S)  => C2H2 + CHC.z(S) 
         k:       3.010000e+46	  -10.50      50746.00


    224. CHCCHCH.z(S)  => Hz(S) + CHCHz(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species Hz(S): 
                  0.00	1.00	0.00	


    225. Hz(S)  => H 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CHCCHCH.z(S): 
                  0.00	1.00	0.00	


    226. C2H4 + CHC.z(S)  => CHCCH2CH2.z(S) 
         k:       1.250000e+09	    0.00       6200.00


    227. CHCCH2CH2.z(S)  => C2H4 + CHC.z(S) 
         k:       3.010000e+46	  -10.50      50746.00


    228. CHCCH2CH2.z(S)  => Hz(S) + CH2CH2z(S) + 2C(B) 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species Hz(S): 
                  0.00	1.00	0.00	


    229. Hz(S)  => H 
         k:       3.600000e+11	    0.00      14300.00
         Coverage dependent parameters for species CHCCH2CH2.z(S): 
                  0.00	1.00	0.00	


    230. CH3 + CHC.z(S)  => CHCCH3z(S) 
         k:       3.000000e+10	    0.00          0.00


    231. CHCCH3z(S)  => CH3 + CHC.z(S) 
         k:       1.040000e+16	    0.00      99658.00


    232. H + CHCCH3z(S)  => H2 + CHCCH2.z(S) 
         k:       3.400000e-01	    3.40       3100.00


